n,seed,backend,warm_start,n_steps,tol,wall_mean,wall_total,wall_first,wall_steady,nmv_mean,lam_first,lam_last
2000,1,scipy_lobpcg,0,10,1e-06,0.0324496699962765,0.324496699962765,0.020373899955302477,0.03379142222305139,128.2,-1.5302877479350172,-1.6454060652725868
2000,1,scipy_lobpcg,1,10,1e-06,0.01195696000359021,0.11956960003590211,0.019662000006064773,0.011100844447759705,50.5,-1.5302877479350172,-1.6454060652933205
2000,1,cupy_lanczos,0,10,1e-06,0.03312575000454672,0.33125750004546717,0.049092000001110137,0.03135172222715078,84.2,-1.5302877479393953,-1.6454060652971838
2000,1,cupy_lanczos,1,10,1e-06,0.021868469996843488,0.21868469996843487,0.036469099984969944,0.02024617777594055,61.8,-1.5302877479387538,-1.6454060652970746
2000,1,cupy_lobpcg,0,10,1e-06,0.33179940000991337,3.3179940000991337,0.4915692000067793,0.3140472000102616,68.4,-1.5302877479333254,-1.6454060652929419
2000,1,cupy_lobpcg,1,10,1e-06,0.2504888700088486,2.504888700088486,0.4729994999943301,0.22576546667712843,50.7,-1.5302877479333254,-1.6454060652933211
2000,2,scipy_arpack,0,10,1e-06,0.003301329998066649,0.03301329998066649,0.005515799974091351,0.0030552777785083484,83.0,-1.514861603229424,-1.5968196015743108
2000,2,scipy_arpack,1,10,1e-06,0.0026846699940506367,0.02684669994050637,0.0047771999961696565,0.002452166660481857,69.0,-1.5148616032290894,-1.5968196015806126
2000,2,scipy_lobpcg,0,10,1e-06,0.026976360008120537,0.26976360008120537,0.027391500014346093,0.026930233340762142,132.4,-1.5148616032173179,-1.5968196015731142
2000,2,scipy_lobpcg,1,10,1e-06,0.03762208999833092,0.3762208999833092,0.0281103000161238,0.03867895555190949,146.5,-1.5148616032173179,-1.5968196015743625
2000,2,cupy_lanczos,0,10,1e-06,0.0420926499995403,0.420926499995403,0.08430919999955222,0.0374019222217612,106.6,-1.514861603229935,-1.5968196015811922
2000,2,cupy_lanczos,1,10,1e-06,0.03696486999979243,0.36964869999792427,0.05401909997453913,0.035069955558153905,93.8,-1.5148616032201956,-1.5968196015771337
2000,2,cupy_lobpcg,0,10,1e-06,0.6199663400126155,6.1996634001261555,1.2816451000398956,0.5464464777873622,109.8,-1.514861603211129,-1.596819601575493
2000,2,cupy_lobpcg,1,10,1e-06,0.7843377500015777,7.843377500015777,0.9848124000127427,0.762062788889226,151.7,-1.514861603211129,-1.596819601574363
5000,0,scipy_arpack,0,10,1e-06,0.007786380004836247,0.07786380004836246,0.006789600010961294,0.007897133337489018,75.0,-1.5502023588538596,-1.6222820145369374
5000,0,scipy_arpack,1,10,1e-06,0.005336569983046502,0.05336569983046502,0.006043799978215247,0.005257988872472197,53.0,-1.5502023588541232,-1.6222820145266006
5000,0,scipy_lobpcg,0,10,1e-06,0.05096173000056296,0.5096173000056297,0.04141659999731928,0.05202230000092337,172.6,-1.550202358843779,-1.6222820145318106
5000,0,scipy_lobpcg,1,10,1e-06,0.024236849998123942,0.24236849998123944,0.03579069999977946,0.022953088886828885,87.3,-1.550202358843779,-1.6222820144327623
5000,0,cupy_lanczos,0,10,1e-06,0.049357219989178705,0.493572199891787,0.049148400023113936,0.049380422207630344,109.8,-1.5502023588546845,-1.6222820145406398
5000,0,cupy_lanczos,1,10,1e-06,0.027727289992617442,0.27727289992617443,0.030651699984446168,0.02740235554908092,74.6,-1.5502023588542715,-1.6222820145410153
5000,0,cupy_lobpcg,0,10,1e-06,0.6071307600126602,6.071307600126602,0.4124442000174895,0.6287626000121236,116.1,-1.5502023588491325,-1.6222820145085424
5000,0,cupy_lobpcg,1,10,1e-06,0.43320359999197533,4.3320359999197535,0.40472259995294735,0.43636815555186736,81.7,-1.5502023588491325,-1.6222820144327497
5000,1,scipy_arpack,0,10,1e-06,0.004938519990537316,0.049385199905373156,0.008093299984466285,0.004587988880100763,52.0,-1.5406395834470301,-1.8070212474080434
5000,1,scipy_arpack,1,10,1e-06,0.003091830009361729,0.03091830009361729,0.00789260002784431,0.00255841111841922,35.0,-1.5406395834468227,-1.8070212474080436
5000,1,scipy_lobpcg,0,10,1e-06,0.013684999995166435,0.13684999995166436,0.025937800004612654,0.012323577771894634,50.8,-1.5406395834418705,-1.8070212474067497
5000,1,scipy_lobpcg,1,10,1e-06,0.01012916000909172,0.1012916000909172,0.02639630000339821,0.008321700009724332,38.5,-1.5406395834418705,-1.807021247407175
5000,1,cupy_lanczos,0,10,1e-06,0.026126780000049622,0.2612678000004962,0.05182669998612255,0.023271233334930405,68.2,-1.5406395834474322,-1.8070212474080456
